ProccessID, countOfDetection, Time(ms)
1, 1, 163816  
1, 1, 51515  
1, 1, 43438  
1, 1, 47695  
1, 1, 41246  
1, 1, 41939  
1, 1, 45831  
1, 1, 48960  
1, 1, 41937  
1, 1, 38946  
1, 1, 46601  
1, 1, 54382  
1, 1, 60225  
1, 1, 45960  
1, 1, 51864  
1, 1, 38018  
1, 1, 37285  
1, 1, 28938  
1, 1, 42634  
1, 1, 39594  
1, 1, 34650  
1, 1, 37274  
1, 1, 35291  
1, 1, 30435  
1, 1, 36592  
1, 1, 28784  
1, 1, 19634  
1, 1, 26695  
1, 1, 23696  
1, 1, 36191  
1, 1, 34151  
1, 1, 32516  
1, 1, 37540  
1, 1, 31563  
1, 1, 33164  
1, 1, 15067  
1, 1, 27682  
1, 1, 27876  
1, 1, 31199  
1, 1, 44077  
1, 1, 31041  
1, 1, 16777  
1, 1, 32820  
1, 1, 32681  
1, 1, 27251  
1, 1, 24209  
1, 1, 38501  
1, 1, 37334  
1, 1, 42349  
1, 1, 42696  
1, 1, 35966  
1, 1, 38729  
1, 1, 43443  
1, 1, 33722  
1, 1, 32327  
1, 1, 40087  
1, 1, 35554  
1, 1, 36808  
1, 1, 28193  
1, 1, 42632  
1, 1, 50183  
1, 1, 59110  
1, 1, 39034  
1, 1, 41147  
1, 1, 35996  
1, 1, 36321  
1, 1, 27999  
1, 1, 33712  
1, 1, 38372  
1, 1, 30612  
1, 1, 32455  
1, 1, 36996  
1, 1, 35275  
1, 1, 33247  
1, 1, 48344  
1, 1, 61585  
1, 1, 29079  
1, 1, 37465  
1, 1, 50071  
1, 1, 41296  
1, 1, 41742  
1, 1, 40943  
1, 1, 40486  
1, 1, 40530  
1, 1, 40234  
1, 1, 40487  
1, 1, 51434  
1, 1, 40530  
1, 1, 46821  
1, 1, 41081  
1, 1, 49732  
1, 1, 38697  
1, 1, 38904  
1, 1, 39812  
1, 1, 38007  
1, 1, 38678  
1, 1, 44256  
1, 1, 43273  
1, 1, 37521  
1, 1, 39199  
1, 1, 39447  
1, 1, 44015  
1, 1, 37191  
1, 1, 38705  
1, 1, 39714  
1, 1, 40422  
1, 1, 47797  
1, 1, 43946  
1, 1, 47091  
1, 1, 43152  
1, 1, 40530  
1, 1, 39540  
1, 1, 40337  
1, 1, 43038  
1, 1, 46371  
1, 1, 39401  
1, 1, 38145  
1, 1, 51756  
1, 1, 58894  
1, 1, 40036  
1, 1, 40844  
1, 1, 40972  
1, 1, 41050  
1, 1, 34266  
1, 1, 39142  
1, 1, 38752  
1, 1, 43808  
1, 1, 46013  
1, 1, 42255  
1, 1, 51816  
1, 1, 37627  
1, 1, 36713  
1, 1, 31776  
