ProccessID, countOfDetection, Time(ms)
1, 1, 73387  
1, 1, 13351  
1, 1, 13256  
1, 1, 13189  
1, 1, 13568  
1, 1, 13215  
1, 1, 13626  
1, 1, 18223  
1, 1, 15249  
1, 1, 18136  
1, 1, 13307  
1, 1, 19249  
1, 1, 17413  
1, 1, 13329  
1, 1, 13256  
1, 1, 13305  
1, 1, 13447  
1, 1, 13285  
1, 1, 13240  
1, 1, 14641  
1, 1, 18124  
1, 1, 13296  
1, 1, 13218  
1, 1, 13249  
1, 1, 8862  
1, 1, 8737  
1, 1, 8722  
1, 1, 8785  
1, 1, 8778  
1, 1, 13157  
1, 1, 13270  
1, 1, 13215  
1, 1, 12380  
1, 1, 13202  
1, 1, 8693  
1, 1, 8730  
1, 1, 8764  
1, 1, 8811  
1, 1, 8728  
1, 1, 8746  
1, 1, 10240  
1, 1, 10094  
1, 1, 14082  
1, 1, 8770  
1, 1, 8783  
1, 1, 8745  
1, 1, 8769  
1, 1, 8738  
1, 1, 8737  
1, 1, 10230  
1, 1, 8774  
1, 1, 9712  
1, 1, 9006  
1, 1, 8828  
1, 1, 8745  
1, 1, 8846  
1, 1, 8754  
1, 1, 8747  
1, 1, 8705  
1, 1, 13227  
1, 1, 13269  
1, 1, 13179  
1, 1, 8735  
1, 1, 8728  
1, 1, 10034  
1, 1, 11764  
1, 1, 8835  
1, 1, 8664  
1, 1, 8835  
1, 1, 8740  
1, 1, 8723  
1, 1, 8728  
1, 1, 8733  
1, 1, 8784  
1, 1, 8945  
1, 1, 13268  
1, 1, 8758  
1, 1, 13457  
1, 1, 13353  
1, 1, 17149  
1, 1, 15101  
1, 1, 13296  
1, 1, 13262  
1, 1, 13403  
1, 1, 13484  
1, 1, 13268  
1, 1, 13202  
1, 1, 13322  
1, 1, 13191  
1, 1, 13258  
1, 1, 13307  
1, 1, 13203  
1, 1, 13360  
1, 1, 13178  
1, 1, 13297  
1, 1, 13228  
1, 1, 13257  
1, 1, 13240  
1, 1, 13272  
1, 1, 13217  
1, 1, 13270  
1, 1, 13228  
1, 1, 13331  
1, 1, 13356  
1, 1, 13275  
1, 1, 13331  
1, 1, 13242  
1, 1, 13298  
1, 1, 13355  
1, 1, 18243  
1, 1, 14178  
1, 1, 16805  
1, 1, 13289  
1, 1, 13284  
