ProccessID, countOfDetection, Time(ms)
1, 0, 22189  
1, 0, 26184  
1, 0, 25712  
1, 0, 35789  
1, 0, 30379  
1, 0, 30540  
1, 0, 30447  
1, 0, 30650  
1, 0, 30237  
1, 0, 38879  
1, 0, 30224  
1, 0, 30085  
1, 0, 30415  
1, 0, 30141  
1, 0, 31889  
1, 0, 30207  
1, 0, 30164  
1, 0, 31203  
1, 0, 29368  
1, 0, 29976  
1, 0, 33425  
1, 0, 29251  
1, 0, 33942  
1, 0, 35815  
1, 0, 30260  
1, 0, 29986  
1, 1, 29125  
1, 1, 30496  
1, 1, 30840  
1, 1, 30589  
1, 1, 30432  
1, 1, 46069  
1, 1, 27549  
1, 1, 27180  
1, 1, 24252  
1, 1, 24381  
1, 1, 27593  
1, 1, 35261  
1, 0, 21341  
1, 0, 24184  
1, 0, 27211  
1, 0, 25500  
1, 0, 22644  
1, 0, 24146  
1, 0, 25928  
1, 0, 21284  
1, 0, 23917  
1, 0, 23881  
1, 0, 25855  
1, 0, 24617  
1, 0, 22954  
1, 0, 24955  
1, 0, 32364  
1, 0, 22725  
1, 0, 28223  
1, 0, 30753  
1, 0, 24653  
1, 0, 22830  
1, 0, 23515  
1, 0, 23623  
1, 0, 23748  
1, 1, 18059  
1, 1, 18563  
1, 1, 18601  
1, 1, 18892  
1, 0, 24348  
1, 0, 23946  
1, 0, 24141  
1, 0, 24161  
1, 1, 24168  
1, 1, 24022  
1, 1, 29234  
1, 1, 24756  
1, 1, 31531  
1, 1, 29458  
1, 1, 24498  
1, 1, 24166  
1, 1, 23036  
1, 1, 24377  
1, 1, 24236  
1, 1, 24114  
1, 1, 23978  
1, 1, 23839  
1, 1, 23908  
1, 1, 23744  
1, 1, 23299  
1, 1, 24064  
1, 1, 28421  
1, 1, 34238  
1, 1, 23350  
1, 1, 29041  
1, 1, 35791  
1, 1, 17236  
1, 1, 23352  
1, 1, 23697  
1, 1, 24627  
1, 1, 25716  
1, 1, 23252  
1, 1, 23143  
1, 1, 24003  
1, 1, 25515  
1, 1, 24181  
1, 1, 25008  
1, 1, 35576  
1, 1, 28760  
1, 1, 37765  
1, 1, 34371  
1, 1, 47583  
1, 1, 37237  
1, 1, 37758  
1, 1, 42572  
1, 1, 36133  
1, 1, 38553  
1, 1, 41399  
1, 1, 38975  
1, 1, 33764  
1, 1, 30381  
1, 1, 36312  
1, 1, 29348  
1, 1, 46655  
1, 1, 39741  
1, 1, 46358  
1, 1, 40290  
1, 1, 41528  
1, 1, 42361  
1, 1, 40493  
1, 1, 45766  
1, 1, 50456  
1, 1, 49541  
1, 1, 47957  
1, 1, 43451  
1, 1, 51701  
1, 1, 40922  
1, 1, 44883  
1, 1, 43154  
1, 1, 43278  
1, 1, 48371  
1, 1, 45328  
1, 1, 37360  
1, 1, 53354  
1, 1, 48567  
1, 1, 36721  
1, 1, 39266  
1, 1, 42101  
1, 1, 37980  
1, 1, 41779  
1, 1, 29672  
1, 1, 27208  
1, 1, 34870  
1, 1, 32857  
1, 1, 30758  
1, 1, 39916  
1, 1, 33935  
1, 1, 33942  
1, 1, 33765  
1, 1, 31976  
1, 1, 34908  
1, 1, 35346  
1, 1, 33497  
1, 1, 38148  
1, 1, 34553  
1, 1, 40634  
1, 1, 38403  
1, 1, 32002  
1, 1, 45209  
1, 1, 31626  
1, 1, 31764  
1, 1, 37209  
1, 1, 35411  
1, 1, 32026  
1, 1, 38016  
1, 1, 38329  
1, 1, 32292  
1, 1, 34662  
1, 1, 33828  
1, 1, 34639  
1, 1, 30749  
1, 1, 51583  
1, 1, 37358  
1, 1, 41041  
1, 1, 29622  
1, 1, 37585  
1, 1, 39570  
1, 1, 40984  
1, 1, 41022  
1, 1, 40179  
1, 1, 40595  
1, 1, 41153  
1, 1, 50229  
1, 1, 40692  
1, 1, 48049  
1, 1, 40909  
1, 1, 40079  
1, 1, 35797  
1, 1, 39419  
1, 1, 38934  
1, 1, 39766  
1, 1, 40002  
1, 1, 39156  
1, 1, 45676  
1, 1, 43642  
1, 1, 39669  
1, 1, 39139  
1, 1, 40682  
1, 1, 43836  
1, 1, 39942  
1, 1, 39558  
1, 1, 39293  
1, 1, 38568  
1, 1, 40214  
1, 1, 43426  
1, 1, 47067  
1, 1, 30433  
1, 1, 34186  
1, 1, 42069  
1, 1, 44302  
1, 1, 37517  
1, 1, 46130  
1, 1, 40495  
1, 1, 40826  
1, 1, 39309  
1, 1, 39780  
1, 1, 47054  
1, 1, 28578  
1, 1, 39911  
1, 1, 41108  
1, 1, 37313  
1, 1, 37255  
1, 1, 39614  
1, 1, 37774  
1, 1, 30938  
1, 1, 44523  
1, 1, 36742  
1, 1, 43787  
1, 1, 43997  
1, 1, 38790  
1, 1, 38061  
1, 1, 39855  
1, 1, 42039  
1, 1, 41817  
1, 1, 40317  
1, 1, 40717  
1, 1, 35805  
1, 1, 41211  
1, 1, 39696  
1, 1, 51444  
1, 1, 29078  
1, 1, 34123  
1, 1, 39355  
1, 1, 39379  
1, 1, 40133  
1, 1, 37131  
1, 1, 31452  
1, 1, 35937  
1, 1, 41860  
1, 1, 34096  
1, 1, 31272  
1, 1, 48253  
1, 1, 38387  
1, 1, 47224  
1, 1, 41161  
1, 1, 40712  
1, 1, 35789  
1, 1, 32384  
1, 1, 35082  
1, 1, 41037  
1, 1, 39218  
1, 1, 36967  
1, 1, 44272  
1, 1, 46354  
1, 1, 37522  
1, 1, 38092  
1, 1, 38767  
1, 1, 45803  
1, 1, 36726  
1, 1, 39312  
1, 1, 37795  
1, 1, 41062  
1, 1, 36460  
1, 1, 31270  
1, 1, 41796  
1, 1, 41287  
1, 1, 40195  
1, 1, 31273  
1, 1, 36752  
1, 1, 36536  
1, 1, 38174  
1, 1, 50405  
1, 1, 34203  
1, 1, 31593  
1, 1, 34177  
1, 1, 42417  
1, 1, 43220  
1, 1, 31452  
1, 1, 40610  
1, 1, 36118  
1, 1, 36847  
1, 1, 38195  
1, 1, 37750  
1, 1, 29139  
1, 1, 39041  
1, 1, 39375  
1, 1, 44525  
1, 1, 39770  
1, 1, 46608  
1, 1, 33066  
1, 1, 32388  
1, 1, 38340  
1, 1, 39074  
1, 1, 38458  
1, 1, 29732  
1, 1, 35820  
1, 1, 40105  
1, 1, 38290  
1, 1, 38950  
1, 1, 41742  
1, 1, 44242  
1, 1, 46183  
1, 1, 39896  
1, 1, 31610  
1, 1, 37021  
1, 1, 34939  
1, 1, 38846  
1, 1, 37924  
1, 1, 36963  
1, 1, 35181  
1, 1, 34906  
1, 1, 50774  
1, 1, 52651  
1, 1, 38879  
1, 1, 52453  
1, 1, 40843  
1, 1, 41407  
1, 1, 31999  
1, 1, 31768  
1, 1, 39653  
1, 1, 42845  
1, 1, 38323  
1, 1, 55022  
1, 1, 45756  
1, 1, 37699  
1, 1, 39757  
1, 1, 34570  
1, 1, 48686  
1, 1, 44013  
1, 1, 38209  
1, 1, 36377  
1, 1, 40524  
1, 1, 40487  
1, 1, 24695  
1, 1, 44162  
1, 1, 42626  
1, 1, 39214  
1, 1, 38799  
1, 1, 41328  
1, 1, 41371  
1, 1, 39485  
1, 1, 33869  
1, 1, 38375  
1, 1, 39984  
1, 1, 39358  
1, 1, 24868  
1, 1, 45034  
1, 1, 36508  
1, 1, 38627  
1, 1, 38985  
1, 1, 28834  
1, 1, 33755  
1, 1, 27672  
1, 1, 28455  
1, 1, 30719  
1, 1, 30230  
1, 1, 35622  
1, 1, 34240  
1, 1, 35355  
1, 1, 43912  
1, 1, 26630  
1, 1, 34125  
1, 1, 39496  
1, 1, 39695  
1, 1, 39442  
1, 1, 39337  
1, 1, 42401  
1, 1, 35097  
1, 1, 42287  
1, 1, 39833  
1, 1, 42936  
1, 1, 49809  
1, 1, 44331  
1, 1, 39622  
1, 1, 25124  
1, 1, 34440  
1, 1, 35890  
1, 1, 36600  
1, 1, 33501  
1, 1, 40969  
1, 1, 42666  
1, 1, 33562  
1, 1, 37492  
1, 1, 47056  
1, 1, 39587  
1, 1, 26423  
1, 1, 36803  
1, 1, 37022  
1, 1, 39467  
1, 1, 37273  
1, 1, 40034  
1, 1, 29757  
1, 1, 34779  
1, 1, 42110  
1, 1, 42010  
1, 1, 45877  
1, 1, 28354  
1, 1, 34690  
1, 1, 44500  
1, 1, 39224  
1, 1, 41190  
1, 1, 39099  
1, 1, 36711  
1, 1, 32904  
1, 1, 37363  
1, 1, 40107  
1, 1, 29019  
1, 1, 53386  
1, 1, 38892  
1, 1, 45444  
1, 1, 30277  
1, 1, 40258  
1, 1, 33763  
1, 1, 38900  
1, 1, 40686  
1, 1, 39882  
1, 1, 41413  
1, 1, 35886  
1, 1, 46924  
1, 1, 43271  
1, 1, 14765  
1, 1, 17129  
1, 1, 15210  
1, 1, 14907  
1, 1, 13634  
1, 1, 21721  
1, 1, 18119  
1, 1, 22612  
1, 1, 31272  
1, 1, 36495  
1, 1, 35302  
1, 1, 38444  
1, 1, 44031  
1, 1, 44290  
1, 1, 52475  
1, 1, 35426  
1, 1, 38283  
1, 1, 37411  
1, 1, 39410  
1, 1, 40834  
1, 1, 39798  
1, 1, 36192  
1, 1, 39034  
1, 1, 39617  
1, 1, 36404  
1, 1, 28775  
1, 1, 41567  
1, 1, 37481  
1, 1, 41101  
1, 1, 41475  
1, 1, 36572  
1, 1, 28386  
1, 0, 37739  
1, 0, 34583  
1, 1, 25862  
1, 0, 45385  
1, 0, 25005  
1, 0, 34122  
1, 0, 43980  
1, 0, 39697  
1, 0, 43520  
1, 0, 43605  
1, 0, 41919  
1, 0, 43339  
1, 0, 39018  
1, 0, 22641  
1, 1, 20398  
1, 0, 45330  
1, 0, 40031  
1, 0, 21652  
1, 0, 43794  
1, 0, 41993  
1, 0, 31874  
1, 0, 37948  
1, 0, 40635  
1, 0, 40035  
1, 0, 41629  
1, 0, 40988  
1, 0, 40690  
1, 0, 35327  
1, 0, 29042  
1, 0, 38499  
1, 0, 51769  
1, 0, 41398  
1, 0, 38758  
1, 0, 40382  
1, 0, 35630  
1, 0, 36573  
1, 0, 36874  
1, 0, 31640  
1, 1, 23215  
1, 1, 29818  
1, 1, 36320  
1, 1, 40411  
1, 1, 44322  
1, 1, 44953  
1, 1, 42284  
1, 1, 42414  
1, 1, 42519  
1, 1, 36177  
1, 1, 37708  
1, 1, 35887  
1, 1, 36355  
1, 1, 34394  
1, 1, 32429  
1, 1, 38978  
1, 1, 45287  
1, 1, 41702  
1, 1, 42867  
1, 1, 40787  
1, 1, 40945  
1, 1, 40158  
1, 1, 41347  
1, 1, 40058  
1, 1, 28919  
1, 1, 40932  
1, 1, 36789  
1, 1, 52002  
1, 1, 39975  
1, 1, 36851  
1, 1, 39941  
1, 1, 38816  
1, 1, 35305  
1, 1, 42485  
1, 1, 41398  
1, 1, 30591  
1, 1, 40697  
1, 1, 39237  
1, 1, 19264  
1, 1, 19664  
1, 1, 20257  
1, 1, 29150  
1, 1, 18438  
1, 1, 40267  
1, 1, 41890  
1, 1, 36349  
1, 1, 42216  
1, 1, 40513  
1, 1, 32151  
1, 1, 35269  
1, 1, 39153  
1, 1, 40135  
1, 1, 45384  
1, 1, 43356  
1, 1, 39389  
1, 1, 39957  
1, 1, 42030  
1, 1, 41904  
1, 1, 34448  
1, 1, 39290  
1, 1, 38088  
1, 1, 34255  
1, 1, 37881  
1, 1, 41007  
1, 1, 44404  
1, 1, 39460  
1, 1, 41045  
1, 1, 37332  
1, 1, 40599  
1, 1, 40536  
1, 1, 24889  
1, 1, 38281  
1, 1, 43295  
1, 1, 34508  
1, 1, 36236  
1, 1, 40972  
1, 1, 47683  
1, 1, 41703  
1, 1, 40652  
1, 1, 36351  
1, 1, 36858  
1, 1, 36638  
1, 1, 30318  
1, 1, 33791  
1, 1, 37934  
1, 1, 34186  
1, 1, 33538  
1, 1, 42969  
1, 1, 56203  
1, 1, 40451  
1, 1, 27939  
1, 1, 38429  
1, 1, 40157  
1, 1, 40485  
1, 1, 36972  
1, 1, 35711  
1, 1, 38212  
1, 1, 40442  
1, 1, 35486  
1, 1, 38435  
1, 1, 50774  
1, 1, 42665  
1, 1, 41518  
1, 1, 42507  
1, 1, 34930  
1, 1, 31337  
1, 1, 40546  
1, 1, 26050  
1, 1, 21510  
1, 1, 32849  
1, 1, 35356  
1, 1, 41066  
1, 1, 48328  
1, 1, 36632  
1, 1, 43580  
1, 1, 40903  
1, 1, 42683  
1, 1, 41233  
1, 1, 39624  
1, 1, 40256  
1, 1, 39415  
1, 1, 55090  
1, 1, 52742  
