176x144,10247,152,147,148,187,145,215,142,149,147,155,146,154,154,152,149,146,165,154,186,157,171,195,164,299,280,576,583,561,527,876,468,858,495,850,504,727,581,548,467,678,406,528,437,501,539,599,786,466,506,611,527,1176,535,1145,979,1038,594,746,891,808,668,588,651,730,975,785,746,413,909,588,714,853,672,680,985,1419,847,655,624,920,1103,556,582,481,444,460,544,458,1947,451,781,2395,436,843,971,909,738,946,817,
320x240,13220,296,235,281,275,281,276,275,283,277,299,274,323,281,279,281,283,275,291,307,324,1250,845,1328,399,829,817,942,3632,1028,2122,2062,1271,1039,2031,1782,1062,1194,1010,1270,977,1250,1072,3908,1259,1035,1200,1434,1067,1858,2026,1220,1076,1225,1060,1324,1093,4540,3869,4212,1051,1204,1103,1044,1225,3581,1069,877,1938,938,1097,880,1487,923,1060,1775,3986,1070,982,1003,1619,959,975,981,1194,1104,1076,1179,3026,1719,1239,1474,1940,960,986,1555,2622,917,965,1005,
352x288,17083,363,404,1696,289,2564,347,349,367,343,1538,342,363,347,348,346,568,420,391,1020,488,1482,370,1049,496,576,663,1690,2132,1505,1673,2760,2146,1117,1419,1183,2450,3829,2938,1423,1352,2978,1461,1260,1537,2444,1300,1845,1836,1801,1545,1306,4063,4370,1411,1859,4201,2990,4130,1247,4350,2523,3937,2432,1570,2811,1399,2895,4827,2343,2559,3770,2922,3301,1390,2101,3189,3242,1149,688,648,1068,2578,632,1193,1662,3011,1869,1290,2690,3137,1290,1709,1093,1592,3410,5827,1113,1379,1290,
640x480,20465,1258,1149,1039,1138,952,3454,1408,1339,1338,1026,1373,1311,2200,3137,1275,6114,1019,2555,1012,984,2361,1103,1379,2923,4322,3086,3130,2863,2803,1168,1454,1147,1163,1891,3293,5677,5412,5223,2924,4518,2745,3865,3911,7988,2550,3168,3712,3180,3671,4632,2541,1440,1570,1885,1313,2857,5247,5146,3050,4041,4680,2939,4769,4245,3174,3812,2368,2937,3342,4210,2466,3662,4432,3781,3211,2543,2602,1841,1617,1009,934,2400,3697,2756,5042,5503,3900,2681,2524,2417,3163,2855,2534,4008,2362,3107,3436,3710,5504,
720x480,19028,1208,1252,1266,3374,1386,1711,1481,1686,1417,2964,1182,1607,6046,4218,1350,1379,3708,2008,1470,1436,1361,1405,1366,2032,1666,3649,1654,2180,1517,6204,3714,3406,2937,4208,3455,7040,2702,4015,3625,6278,4538,3318,3584,5877,2758,5798,3270,5835,2893,4135,3354,4594,2932,4990,5881,5896,2831,8112,10894,5764,4877,5861,4076,3688,2566,5579,5831,6197,3011,5958,6107,4468,3556,3402,3489,3413,2824,3452,5704,3356,4665,1514,3626,5142,3850,3231,4449,4068,9428,4622,3506,2686,3638,3684,4008,3183,5010,2956,5326,
960x540,30496,3081,1700,1733,2428,6391,4670,3507,4667,4414,1909,1980,4399,1772,1760,2826,3117,4625,3322,2166,2133,2086,3826,3932,1884,1670,2278,2766,1528,6337,7258,7855,4901,8001,7517,7341,7779,7754,8121,8315,5522,2637,3334,6940,6030,5464,6617,1683,4680,2363,3580,4220,6280,4356,2444,1554,7073,5283,7931,3984,4547,8039,5871,3810,4076,4849,8562,7373,4380,5755,6010,1796,5685,7904,7366,4599,5136,5926,8777,4192,7456,2335,3208,2273,2534,8423,7617,4226,7525,4998,4901,1859,2171,3062,6556,4640,4782,5709,3042,4495,
960x720,46720,6080,3080,8386,3235,5835,3524,3114,8754,6980,5436,4807,4244,3741,4334,3880,3487,5027,5549,2608,4473,5095,9201,5386,7136,4460,10772,9211,8291,8322,4683,9457,9182,10712,11005,9515,11505,11538,11737,4511,6078,4970,11929,13111,6191,8280,9271,10709,11547,11038,10895,4759,10495,7570,5470,9819,10181,10688,13613,6600,4033,6187,3370,11190,10024,11742,10074,9362,10600,9577,8550,9290,11100,7949,11902,9350,10594,12586,10702,11793,11706,11623,10362,9797,9317,10895,11583,8493,4033,7967,9985,9462,9002,12676,9358,8901,8393,13989,13329,8319,
960x960,53320,6370,8175,11900,3921,7452,5370,9263,14051,8622,8594,9429,7024,11015,13883,13043,10651,7936,6438,9877,5714,9434,9211,12056,10350,17175,7886,9070,6462,8344,11199,7606,7153,13554,8836,7088,8851,6263,8901,6058,9211,13548,15615,18826,7151,6630,12737,7640,14060,12779,12058,13677,11464,12613,11514,9182,6554,7419,13844,18047,9535,13647,11646,20394,9220,7747,6198,21003,16207,15142,15240,10899,7482,14374,14568,12764,16614,18597,16291,13044,13733,16324,11433,8931,8779,4904,14954,13842,16778,19220,12924,7179,13238,18027,12547,19347,14540,17860,8944,11626,
1440x1080,101749,3420,7705,4874,6121,9407,4068,8434,5103,8106,6289,9953,12557,8266,9767,5566,8372,10573,7055,8721,6671,11136,6621,10311,8770,10353,8356,10094,12669,19083,17073,16592,14731,20043,11998,12503,9948,7876,10081,15431,15275,15809,16887,15099,14343,16283,18399,9840,9687,7711,11587,16002,15276,17929,15095,15349,14965,16073,15147,15471,12346,15202,5951,14350,15040,16727,13039,14872,13721,8308,13700,14741,10234,8748,18218,9304,16417,13008,13201,14116,12967,12056,14194,14116,7463,9698,9997,7318,14618,14565,13670,14750,10900,6598,13373,8171,5749,14774,12880,14296,
1080x1080,62149,9605,6214,9460,9953,8991,15098,11091,8267,14828,10068,12249,16488,11403,11065,10014,16232,12435,11145,10927,8767,11379,11904,9343,12290,15763,12027,14177,17853,20083,13876,18206,12477,12196,17932,17363,12127,17552,14519,18648,19253,16495,18887,17903,15140,18063,19451,16871,15444,17527,7280,14968,14431,16541,8003,17636,18815,13798,9642,18031,18413,16286,19824,15048,19743,19393,17579,17452,13712,10146,17911,17962,12097,18142,11694,9237,17910,19313,14697,16871,13421,8228,20192,12328,12673,6892,17073,17207,17459,18927,15471,14978,17605,17954,15335,20938,18742,11413,10885,19741,
